,accommodates,price,minimum_nights,maximum_nights,minimum_maximum_nights,availability_30,number_of_reviews,number_of_reviews_ltm,review_scores_rating,calculated_host_listings_count,calculated_host_listings_count_private_rooms,days_since_last_review,days_since_first_review,days_since_host_since,room_type,host_response_rate,bathrooms,host_is_superhost,host_identity_verified,instant_bookable,Entire rental unit,Price/square ,EMPORIKO TRIGONO-PLAKA,jumio,work_email,Shampoo,Heating,Hot water,TV,Coffee maker,Dedicated workspace,Bed linens,Washer,Elevator,Fire extinguisher,First aid kit,Free street parking,Extra pillows and blankets,Patio or balcony,Smoke alarm,Microwave,Shower gel,Luggage dropoff allowed,Private entrance,Host greets you,Lockbox,Room-darkening shades,Hot water kettle,Crib,Paid parking off premises,Body soap,Dryer,Baking sheet,Ethernet connection,Dishwasher,Outdoor furniture,High chair,Pack ’n play/Travel crib,Cable TV,Single level home,Bathtub
47,8,120.0,2,1125,1125,14,8,0,4.88,40,0,1500,2309,3630,0,5,2.5 ,1.0,1.0,0,1,1100,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0
48,3,80.0,1,1125,1125,28,17,2,5.0,2,0,79,1207,3452,0,5,1 ,1.0,1.0,0,1,2300,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,4,40.0,3,30,30,1,102,5,4.56,1,0,1871,2606,3441,0,5,1 ,1.0,0.0,0,1,2300,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,16,321.0,2,1125,1125,10,33,12,4.85,40,0,57,2148,3630,0,5,5.5 ,1.0,1.0,0,1,1100,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0
52,4,57.0,2,1125,1125,10,7,4,5.0,40,0,8,2309,3630,0,5,1 ,1.0,1.0,0,1,1100,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0
53,4,56.0,2,1125,1125,17,20,5,4.85,40,0,2301,851,3630,0,5,1 ,1.0,1.0,0,1,1100,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0
54,5,121.0,1,1125,1125,0,18,0,4.82,7,0,1402,3087,3441,0,0,1 ,0.0,1.0,1,1,1800,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
55,4,63.0,1,1125,1125,0,5,0,4.8,7,0,2343,2993,3441,0,0,1 ,0.0,1.0,1,1,1800,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
56,2,62.0,3,1125,1125,30,34,4,4.65,40,0,17,2912,3630,0,5,1 ,1.0,1.0,1,1,1400,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0
57,3,88.0,2,1125,1125,0,32,0,4.83,40,0,1883,2365,3630,0,5,1 ,1.0,1.0,0,1,2380,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0
59,4,121.0,1,1125,1125,0,4,0,4.5,7,0,2339,2362,3441,0,0,1 ,0.0,1.0,1,1,1800,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
61,5,60.0,3,90,90,23,14,1,4.93,1,0,1562,2277,3406,0,3,1.5 ,0.0,0.0,1,1,1400,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,13,323.0,3,60,1125,23,13,2,4.77,4,0,137,2082,3403,0,5,4 ,1.0,1.0,1,0,1300,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0
63,3,38.0,2,1125,1125,16,367,19,4.79,1,0,48,2729,3401,0,5,1 ,1.0,1.0,1,1,2380,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
64,8,184.0,3,30,1125,30,10,0,4.67,4,0,1213,2374,3402,0,5,2 ,1.0,1.0,1,0,1350,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0
65,4,28.0,2,60,60,0,246,2,4.66,1,0,687,3091,3424,0,5,1 ,0.0,1.0,0,1,1200,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
66,2,70.0,2,365,1125,0,142,13,4.94,2,0,53,3068,3784,0,5,1 ,1.0,1.0,1,1,2380,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67,4,32.0,3,1095,1095,0,66,0,4.2,1,0,1967,2697,3389,0,4,1.5 ,0.0,0.0,0,1,1380,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68,4,75.0,2,1125,1125,20,186,19,4.93,2,0,11,2291,3371,0,5,1 ,1.0,1.0,1,1,2300,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
